key,zh_TW
ui.money.format,NT$%.0f
ui.time.format,%02d:%02d
ui.game.day_label,第 %d 天
ui.game.year_label,第 %d 年
ui.game.open,營業中
ui.game.closed,休息中
ui.game.paused,遊戲暫停
ui.game.resumed,繼續遊戲
ui.game.day_start,開始營業
ui.game.day_end,今日結束
ui.game.income_summary,今日收入：NT$%.0f
ui.game.year_advance,進入第 %d 年
ui.timescale.normal,正常速度
ui.timescale.fast,2 倍速
ui.timescale.fastest,4 倍速
ui.reputation.label,名聲
ui.money.label,資金
ui.money.insufficient,資金不足
ui.save.saving,存檔中…
ui.save.success,存檔成功
ui.save.failed,存檔失敗
ui.save.loading,讀取存檔中…
ui.save.load_success,讀取成功
ui.save.load_failed,讀取失敗，存檔可能已損毀
ui.save.not_found,找不到存檔
ui.save.auto_save,自動存檔完成
ui.seat.empty,空位
ui.seat.waiting,保留中
ui.seat.occupied,使用中
ui.seat.no_available,目前無空位
ui.menu.category.stir_fry,炒菜
ui.menu.category.grilled,烤類
ui.menu.category.cold_dish,涼菜
ui.menu.category.drink,飲料
ui.menu.category.soup,湯品
ui.menu.unlocked,已解鎖
ui.menu.locked,尚未解鎖
ui.menu.sold_out,售完
ui.order.placed,已下單
ui.order.cooking,料理中
ui.order.ready,餐點完成
ui.order.served,已送餐
ui.task.cook,炒菜
ui.task.serve,送餐
ui.task.clear,清桌
ui.task.restock,補貨
customer.state.entering,入場中
customer.state.waiting,等候座位中
customer.state.eating,用餐中
customer.state.satisfied,滿意
customer.state.angry,生氣離場
customer.state.leaving,離場中
customer.patience.warning,客人快沒耐心了！
customer.patience.depleted,客人因等太久憤而離席
customer.order.placed,客人已下單
customer.arrived,客人進門
customer.left.satisfied,客人滿意離去
customer.left.angry,客人不滿離去
staff.state.idle,待機中
staff.state.walk,前往工作中
staff.state.working,工作中
staff.state.satisfied,任務完成
staff.state.angry,士氣低落
staff.morale.warning,員工士氣偏低，請注意！
staff.morale.depleted,員工士氣歸零，需要休息
staff.task.assigned,已指派任務
staff.task.completed,任務完成
staff.task.queue_full,任務排程已滿
staff.idle.too_long,員工閒置過久
event.day_started,今天開始營業囉！
event.day_ended,今日打烊，辛苦了！
event.year_advanced,恭喜進入新的一年！解鎖了新的挑戰！
event.reputation_up,名聲提升！
event.reputation_down,名聲下降，需要努力改善！
event.money_earned,收入 NT$%.0f
event.money_spent,支出 NT$%.0f
event.new_dish_unlocked,新菜色解鎖：%s
event.new_staff_available,新員工可招募：%s
event.auto_saved,已自動存檔
system.loading,載入中…
system.error.save_dir,無法建立存檔目錄
system.error.save_write,存檔寫入失敗
system.error.save_read,存檔讀取失敗
system.error.save_corrupt,存檔格式錯誤，存檔可能已損毀
system.error.dish_file_missing,找不到菜品資料檔，請確認遊戲完整性
system.error.dish_file_invalid,菜品資料格式錯誤
system.error.pathfinding_not_init,尋路系統尚未初始化
system.error.seat_duplicate,座位重複登記
system.error.seat_not_found,座位不存在
system.confirm.new_game,確定要開始新遊戲嗎？目前進度將不會保留。
system.confirm.delete_save,確定要刪除存檔嗎？此操作無法復原。
dish.stir_fry_morning_glory.name,炒空心菜
dish.stir_fry_morning_glory.desc,"熱油下鍋、蒜頭爆香，空心菜在鑊氣裡翻個兩下就上桌，簡單卻是老台灣人最懷念的味道。配飯、配酒都行，賣價親民，每桌必點。"
dish.century_egg_tofu.name,皮蛋豆腐
dish.century_egg_tofu.desc,"嫩豆腐切塊、皮蛋擺上去，淋一圈醬油膏配柴魚片，冰涼爽口，夏天根本賣不停。不用開火，上菜速度快，是熱炒店的救場神菜。"
dish.stir_fry_vermicelli.name,炒米粉
dish.stir_fry_vermicelli.desc,"新竹米粉先泡開，和高麗菜、紅蘿蔔、肉絲一起炒，最後加一匙豬油提香，這味道一飄出去巷子尾都知道。份量大、填飽肚，喝多的客人最愛點這道。"
dish.taiwan_beer.name,台啤（瓶）
dish.taiwan_beer.desc,"金黃透亮、冰到底，台灣啤酒是熱炒店的靈魂，沒有它算什麼熱炒？凍到滴水的台啤配炒蛤蜊，這才是台灣人的幸福。"
dish.basil_eggplant.name,塔香茄子
dish.basil_eggplant.desc,"茄子先過油炸軟，再下蒜末、辣椒、九層塔大火快炒，紫色茄子裹滿醬汁，光看就下飯。九層塔的香氣在整個店裡散開，客人還沒坐定就急著問這是什麼。"
dish.garlic_cabbage.name,蒜炒高麗菜
dish.garlic_cabbage.desc,"高麗菜撕大片、蒜頭拍碎，猛火快炒帶點微焦，甜脆清爽，台灣阿嬤的必殺技。便宜大碗，是陪伴客人從第一杯喝到最後一杯的忠實配菜。"
dish.three_cup_chicken.name,三杯雞
dish.three_cup_chicken.desc,"師傅的拿手菜，三杯醬汁滲進每塊雞肉裡，起鍋前撒一把九層塔，鑊氣十足。配一瓶台啤剛剛好，每次端出去隔壁桌都要側目多看幾眼。"
dish.stir_fry_clam.name,炒蛤蜊
dish.stir_fry_clam.desc,"新鮮蛤蜊吐沙後下鍋，薑片、米酒、九層塔一起嗆，蛤蜊開口的瞬間湯汁噴出來，鮮甜得要命。蛤蜊不新鮮絕對不賣，這是師傅的堅持。"
dish.ginger_large_intestine.name,薑絲炒大腸
dish.ginger_large_intestine.desc,"大腸清洗三次才夠乾淨，跟薑絲、辣椒下鍋猛炒，酸辣Q彈，這道菜考驗師傅的刀工和耐心。老饕才懂的好滋味，點這道的客人都是識貨的。"
dish.garlic_white_pork.name,蒜泥白肉
dish.garlic_white_pork.desc,"五花肉水煮後切薄片，均勻捲起擺盤，淋上自製蒜泥醬和辣油，紅白相間很好看。冷盤上桌，天熱的時候比熱炒還受歡迎。"
dish.popcorn_chicken.name,鹽酥雞
dish.popcorn_chicken.desc,"醃過的雞塊裹粉高溫炸到金黃，撒九層塔再炸一秒起鍋，外皮酥脆內裡多汁，是台灣夜市的靈魂小吃。熱炒店賣鹽酥雞，客人等不及會先點這個墊肚。"
dish.grilled_corn.name,烤玉米
dish.grilled_corn.desc,"台灣甜玉米刷醬油膏在炭火上慢慢轉，烤到微焦飄出焦糖甜香，是夜市的記憶、是台灣夏天的味道。客人邊等炒菜邊啃玉米，服務生也省得一直催。"
dish.ginger_duck_hot_pot.name,薑母鴨（鍋）
dish.ginger_duck_hot_pot.desc,"冬天才賣的限定鍋物，老薑爆炒鴨肉再加米酒燉煮，湯頭濃郁暖身，喝一口全身都暖了。特別適合冷鋒來的那幾個月，桌桌都在點。"
dish.steamed_fish.name,清蒸魚
dish.steamed_fish.desc,"當天現撈的鮮魚鋪薑絲入蒸鍋，魚熟後淋熱油、澆醬油、配青蔥，魚肉嫩到用筷子一撥就散。食材新不新鮮騙不了人，清蒸魚是店家誠意的最佳考卷。"
dish.satay_lamb.name,沙茶羊肉
dish.satay_lamb.desc,"羊肉薄切配沙茶醬和空心菜大火快炒，羊肉的膻味被沙茶香壓過，反而多了一種獨特的鑊香。懂行的客人來了一定點這道，是熱炒店的隱藏高手菜。"
dish.grilled_squid.name,烤透抽
dish.grilled_squid.desc,"整隻透抽刷蒜蓉醬放上炭火烤，烤到觸手微焦捲起、香氣四溢，剪開後配辣醬吃，是夜市烤海鮮的進階版。客人一點餐旁邊桌立刻跟著問這是什麼。"
dish.spicy_duck_blood_tofu.name,麻辣鴨血臭豆腐（鍋）
dish.spicy_duck_blood_tofu.desc,"臭豆腐、鴨血、毛肚泡在滾燙紅湯裡，麻辣香氣衝出老遠，愛辣的客人看到就走不動腿。怕辣的敬而遠之，但吃過的都說「下次還要點」。"
dish.stir_fry_surf_clam.name,炒海瓜子
dish.stir_fry_surf_clam.desc,"海瓜子比蛤蜊更迷你、更鮮甜，下鍋嗆薑片、辣椒、豆豉，快炒到全開就起鍋，湯汁不能流失，那是精華。配白飯直接把湯汁扒完，是大人的美食記憶。"
dish.grilled_pork_belly_skewer.name,烤五花肉串
dish.grilled_pork_belly_skewer.desc,"五花肉切厚片穿串，先醃再烤，油花在炭火上滋滋作響，外皮微焦帶甜鹹燒烤醬，配一杯高粱就是人生。是中秋限定的超強版本，也是常駐烤物的招牌。"
dish.lobster_salad.name,龍蝦沙拉（冷盤）
dish.lobster_salad.desc,"整隻龍蝦水煮後對半剖開，鋪上特製美乃滋沙拉，視覺效果驚人，擺到哪一桌全場矚目。是尾牙、過年的壓桌菜，客人訂桌必點，拍照先吃。"
dish.three_cup_longan_shrimp.name,三杯龍眼蝦
dish.three_cup_longan_shrimp.desc,"台灣在地龍眼蝦用三杯醬汁燒，蝦殼帶醬色、蝦肉鮮甜，是三杯雞的海鮮進化版。食材季節限定，只有當季捕獲量夠才出現菜單上，越稀有越搶手。"
dish.sesame_oil_chicken_soup.name,麻油雞湯
dish.sesame_oil_chicken_soup.desc,"黑麻油爆薑片至金黃，放入切塊土雞慢燉，最後加米酒嗆香，湯色琥珀透亮、香氣撲鼻。是台灣女性的月子好夥伴，也是冬天進補的首選，暖到心窩裡。"
dish.grilled_whole_fish.name,烤整條午仔魚
dish.grilled_whole_fish.desc,"台灣養殖午仔魚鹽漬後炭烤，魚皮烤到酥脆焦香，魚肉卻依然嫩滑多汁，這功夫沒個五年燒不出來。擺上桌氣勢十足，是讓客人帶朋友來的壓桌神菜。"
dish.shaoxing_drunken_chicken.name,紹興醉雞（冷盤）
dish.shaoxing_drunken_chicken.desc,"全雞水煮至剛熟，浸入紹興酒與藥材調配的醉汁裡冰鎮一夜，切塊上桌酒香四溢，是考驗耐心的工夫菜。提前一天準備，隔天才能賣，只能限量。"
dish.kaoliang_spirit.name,高粱（一杯）
dish.kaoliang_spirit.desc,"台灣金門高粱，香濃醇厚，比啤酒後勁強多了，配薑絲炒大腸或蒜泥白肉才是行家喝法。一杯下去話就多了，生意越晚越好做。"
dish.plum_juice.name,烏梅汁
dish.plum_juice.desc,"自製烏梅汁酸甜清爽，是不喝酒的客人最愛，也是家庭客桌上給小孩點的飲料。一壺上桌量大又划算，有了它，全家人都可以進熱炒店。"
dish.herbal_pork_rib_soup.name,藥膳排骨湯
dish.herbal_pork_rib_soup.desc,"豬軟骨搭配當歸、枸杞、紅棗慢燉兩小時，湯色深褐、藥香溫補，每天限量幾鍋賣完為止。台灣人相信「食補」，這鍋湯是老客人每週必報到的理由。"
dish.oyster_omelette.name,蚵仔煎
dish.oyster_omelette.desc,"新鮮蚵仔鋪在蛋汁和地瓜粉漿上煎，底部金黃酥脆、蚵仔飽滿鮮甜，淋上特調甜辣醬是靈魂之筆。台灣夜市的精神代表，進了熱炒店更有料更豐盛。"
dish.rice_wine.name,紅標米酒（瓶）
dish.rice_wine.desc,"台灣紅標米酒，廚房裡離不開它，客人桌上也要來一瓶。配薑母鴨、麻油雞是標配，喝起來比高粱溫和，是阿公輩的最愛，一喝就是幾十年。"
dish.beef_chow_mein.name,牛肉炒麵
dish.beef_chow_mein.desc,"黃麵和牛肉片大火同炒，醬色均勻、麵條帶彈性，牛肉鎖住肉汁香嫩不老，上桌前撒蔥花。喝多的客人快打烊的時候最愛點這道，消夜感十足。"
staff.a_long.name,阿龍師傅
staff.a_long.desc,"嘴硬心軟的老廚師，菜沒做好絕對不出餐，罵人難聽但永遠站在你這邊。"
staff.xiao_yu.name,小玉
staff.xiao_yu.desc,"科班出身的年輕廚師，理論一流但缺乏鑊氣，跟著阿龍師傅學才慢慢開竅。"
staff.a_di.name,阿弟
staff.a_di.desc,"國中剛畢業、懵懵懂懂的大男孩，什麼都不會但什麼都肯學，腦子動得快。"
staff.xiu_lan.name,秀蘭姐
staff.xiu_lan.desc,"做了二十幾年外場的大姐，動作快嘴巴更快，客人進門叫一聲就知道點什麼。"
staff.a_cai.name,阿財
staff.a_cai.desc,"打工中的大學生，念觀光科系，課本學的全用在這，認真到讓人有點心疼。"
staff.jin_feng.name,金鳳
staff.jin_feng.desc,"老客人阿財爸的媳婦，豪爽大方，能喝酒能說笑，跟任何客人都能聊起來。"
staff.da_ming.name,大明伯
staff.da_ming.desc,"每天凌晨四點就去魚市場的老采購，認識所有的攤販，砍價是他的第二天性。"
staff.grandma.name,阿嬤
staff.grandma.desc,"六十歲的退休阿嬤，手腳俐落、把店裡當自己家在顧，看見亂就不舒服。"
staff.owner_wife.name,陳老闆娘
staff.owner_wife.desc,"精打細算、又愛面子，一邊嫌棄店裡亂一邊捨不得離開，是你最強的後援也是最強的壓力。"
staff.michelin_inspector.name,神秘稽查員
staff.michelin_inspector.desc,"穿著普通、點菜挑剔，沉默地記錄每一個細節，你永遠不知道他是誰。"
